admit,gre,gpa,rank,,,
1,680,3.85,3,,-0.5782171,0
0,580,4,3,,-0.691065,0
0,600,3.59,2,,-0.40372974,0
0,740,3.62,4,,-1.17932132,0
0,620,3.3,1,,-0.0231528,0
0,580,3.69,1,,0.18812266,1
0,800,3.73,1,,0.72388322,1
0,640,4,3,,-0.553425,0
0,300,2.92,4,,-2.73259112,0
0,480,3.39,4,,-1.95447454,0
0,580,4,2,,-0.131034,0
0,720,3.45,4,,-1.3572937,0
0,720,4,3,,-0.369905,0
0,560,3.36,3,,-1.23423396,0
1,800,4,3,,-0.186385,0
0,540,3.12,1,,-0.34653532,0
1,620,4,1,,0.520757,1
0,700,2.9,4,,-1.8305314,0
0,620,3.07,2,,-0.76189702,0
0,500,2.71,2,,-1.31690206,0
0,380,2.91,4,,-2.55684126,0
1,500,3.6,3,,-1.1853906,0
0,520,2.98,2,,-1.06122828,0
0,600,3.32,2,,-0.61352352,0
0,600,3.48,2,,-0.48920128,0
0,700,3.28,1,,0.14482692,1
1,660,4,2,,0.052486,1
0,700,3.83,2,,0.01215362,1
1,720,3.64,1,,0.47043196,1
0,800,3.9,2,,0.2959446,1
0,580,2.93,2,,-0.96243898,0
1,660,3.44,2,,-0.38264184,0
0,660,3.33,2,,-0.46811338,0
0,640,3.52,4,,-1.48642272,0
0,480,3.57,2,,-0.69455002,0
0,700,2.88,2,,-0.72600968,0
0,400,3.31,3,,-1.64012466,0
0,340,3.15,3,,-1.9020869,0
0,580,3.57,3,,-1.02518102,0
0,380,3.33,4,,-2.23049538,0
0,540,3.94,3,,-0.82944584,0
1,660,3.95,2,,0.0136353,1
1,740,2.97,2,,-0.56431842,0
1,700,3.56,1,,0.36239084,1
0,480,3.13,2,,-1.03643618,0
0,400,2.93,3,,-1.93538998,0
0,480,3.45,2,,-0.7877917,0
0,680,3.08,4,,-1.73654888,0
0,420,3.41,4,,-2.07657426,0
0,360,3,3,,-1.972759,0
0,600,3.22,1,,-0.13119392,0
0,720,3.84,3,,-0.49422724,0
0,620,3.99,3,,-0.60707514,0
1,440,3.45,2,,-0.8795517,0
0,700,3.72,2,,-0.07331792,0
1,800,3.7,1,,0.7005728,1
0,340,2.92,3,,-2.08080012,0
1,520,3.74,2,,-0.47069764,0
1,480,2.67,2,,-1.39386262,0
0,520,2.85,3,,-1.7222711,0
0,500,2.98,3,,-1.66713928,0
0,720,3.88,3,,-0.46314668,0
0,540,3.38,4,,-1.82460468,0
1,600,3.54,1,,0.11745056,1
0,740,3.74,4,,-1.08607964,0
0,540,3.19,2,,-0.85217534,0
0,460,3.15,4,,-2.1868379,0
1,620,3.17,2,,-0.68419562,0
0,640,2.79,2,,-0.93358094,0
0,580,3.4,2,,-0.5972424,0
0,500,3.08,3,,-1.58943788,0
0,560,2.95,2,,-0.9927787,0
0,500,3.57,3,,-1.20870102,0
0,560,3.33,4,,-1.81757538,0
0,700,4,3,,-0.415785,0
0,620,3.4,2,,-0.5054824,0
1,600,3.58,1,,0.14853112,1
0,640,3.93,2,,-0.04778498,0
1,700,3.52,4,,-1.34878272,0
0,620,3.94,4,,-1.20595684,0
0,580,3.4,3,,-1.1572734,0
0,580,3.4,4,,-1.7173044,0
0,380,3.43,3,,-1.59276298,0
0,480,3.4,2,,-0.8266424,0
0,560,2.71,3,,-1.73929306,0
1,480,2.91,1,,-0.64734826,0
0,740,3.31,1,,0.25989734,1
1,800,3.74,1,,0.73165336,1
0,400,3.38,2,,-1.02570268,0
1,640,3.94,2,,-0.04001484,0
0,580,3.46,3,,-1.11065256,0
0,620,3.69,3,,-0.84017934,0
1,580,2.86,4,,-2.13689196,0
0,560,2.52,2,,-1.32689472,0
1,480,3.58,1,,-0.12674888,0
0,660,3.49,2,,-0.34379114,0
0,700,3.82,3,,-0.55564752,0
0,600,3.13,2,,-0.76115618,0
0,640,3.5,2,,-0.381901,0
1,700,3.56,2,,-0.19764016,0
0,520,2.73,2,,-1.25548178,0
0,580,3.3,2,,-0.6749438,0
0,700,4,1,,0.704277,1
0,440,3.24,4,,-2.16278664,0
0,720,3.77,3,,-0.54861822,0
0,500,4,3,,-0.874585,0
0,600,3.62,3,,-0.94045032,0
0,400,3.51,3,,-1.48472186,0
0,540,2.81,3,,-1.70747166,0
0,680,3.48,3,,-0.86571228,0
1,800,3.43,2,,-0.06925198,0
0,500,3.53,4,,-1.79981258,0
1,620,3.37,2,,-0.52879282,0
0,520,2.62,2,,-1.34095332,0
1,620,3.23,3,,-1.19760578,0
0,620,3.33,3,,-1.11990438,0
0,300,3.01,3,,-2.10262886,0
0,620,3.78,3,,-0.77024808,0
0,500,3.88,4,,-1.52785768,0
0,700,4,2,,0.144246,1
1,540,3.84,2,,-0.34711624,0
0,500,2.79,4,,-2.37480294,0
0,800,3.6,2,,0.0628404,1
0,560,3.61,3,,-1.03998046,0
0,580,2.88,2,,-1.00128968,0
0,560,3.07,2,,-0.89953702,0
0,500,3.35,2,,-0.8196131,0
1,640,2.94,2,,-0.81702884,0
0,800,3.54,3,,-0.54381144,0
0,640,3.76,3,,-0.73990836,0
0,380,3.59,4,,-2.02847174,0
1,600,3.47,2,,-0.49697142,0
0,560,3.59,2,,-0.49548974,0
0,660,3.07,3,,-1.23016802,0
1,400,3.23,4,,-2.26231678,0
0,600,3.63,3,,-0.93268018,0
0,580,3.77,4,,-1.42980922,0
0,800,3.31,3,,-0.72252466,0
1,580,3.2,2,,-0.7526452,0
1,700,4,1,,0.704277,1
0,420,3.92,4,,-1.68029712,0
1,600,3.89,1,,0.38940546,1
1,780,3.8,3,,-0.3876678,0
0,740,3.54,1,,0.43861056,1
1,640,3.63,1,,0.27914182,1
0,540,3.16,3,,-1.43551676,0
0,580,3.5,2,,-0.519541,0
0,740,3.34,4,,-1.39688524,0
0,580,3.02,2,,-0.89250772,0
0,460,2.87,2,,-1.28433982,0
0,640,3.38,3,,-1.03517368,0
1,600,3.56,2,,-0.42704016,0
1,660,2.91,3,,-1.35449026,0
0,340,2.9,1,,-0.9762784,0
1,460,3.64,1,,-0.12600804,0
0,460,2.98,1,,-0.63883728,0
1,560,3.59,2,,-0.49548974,0
0,540,3.28,3,,-1.34227508,0
0,680,3.99,3,,-0.46943514,0
1,480,3.02,1,,-0.56187672,0
0,800,3.47,3,,-0.59820242,0
0,800,2.9,2,,-0.4810694,0
1,720,3.5,3,,-0.758412,0
0,620,3.58,2,,-0.36561988,0
0,540,3.02,4,,-2.10432972,0
0,480,3.43,2,,-0.80333198,0
1,720,3.42,2,,-0.26054212,0
0,580,3.29,4,,-1.80277594,0
0,600,3.28,3,,-1.20463508,0
0,380,3.38,2,,-1.07158268,0
0,420,2.67,3,,-2.09153362,0
1,800,3.53,1,,0.56848042,1
0,620,3.05,2,,-0.7774373,0
1,660,3.49,2,,-0.34379114,0
0,480,4,2,,-0.360434,0
0,500,2.86,4,,-2.32041196,0
0,700,3.45,3,,-0.8431427,0
0,440,2.76,2,,-1.41569136,0
1,520,3.81,1,,0.14372434,1
1,680,2.96,3,,-1.26975956,0
0,620,3.22,2,,-0.64534492,0
0,540,3.04,1,,-0.40869644,0
0,800,3.91,3,,-0.25631626,0
0,680,3.34,2,,-0.41446324,0
0,440,3.17,2,,-1.09711562,0
0,680,3.64,3,,-0.74139004,0
0,640,3.73,3,,-0.76321878,0
0,660,3.31,4,,-1.60371566,0
0,620,3.21,4,,-1.77317706,0
1,520,4,2,,-0.268674,0
1,540,3.55,4,,-1.6925123,0
1,740,3.52,4,,-1.25702272,0
0,640,3.35,3,,-1.0584841,0
1,520,3.3,2,,-0.8125838,0
1,620,3.95,3,,-0.6381557,0
0,520,3.51,2,,-0.64941086,0
0,640,3.81,2,,-0.14102666,0
0,680,3.11,2,,-0.59317646,0
0,440,3.15,2,,-1.1126559,0
1,520,3.19,3,,-1.45808634,0
1,620,3.95,3,,-0.6381557,0
1,520,3.9,3,,-0.9064064,0
0,380,3.34,3,,-1.66269424,0
0,560,3.24,4,,-1.88750664,0
1,600,3.64,3,,-0.92491004,0
1,680,3.46,2,,-0.32122156,0
0,500,2.81,3,,-1.79923166,0
1,640,3.95,2,,-0.0322447,0
0,540,3.33,3,,-1.30342438,0
1,680,3.67,2,,-0.15804862,0
0,660,3.32,1,,0.08414748,1
0,520,3.12,2,,-0.95244632,0
1,600,2.98,2,,-0.87770828,0
0,460,3.77,3,,-1.14505822,0
1,580,3.58,1,,0.10265112,1
1,680,3,4,,-1.79871,0
1,660,3.14,2,,-0.61574604,0
0,660,3.94,2,,0.00586516,1
0,360,3.27,3,,-1.76296522,0
0,660,3.45,4,,-1.4949337,0
0,520,3.1,4,,-2.0880486,0
1,440,3.39,2,,-0.92617254,0
0,600,3.31,4,,-1.74135566,0
1,800,3.22,1,,0.32760608,1
1,660,3.7,4,,-1.3006802,0
0,800,3.15,4,,-1.4068779,0
0,420,2.26,4,,-2.97014036,0
1,620,3.45,2,,-0.4666317,0
0,800,2.78,2,,-0.57431108,0
0,680,3.7,2,,-0.1347382,0
0,800,3.97,1,,0.91036658,1
0,480,2.55,1,,-0.9270733,0
0,520,3.25,3,,-1.4114655,0
0,560,3.16,1,,-0.26957476,0
0,460,3.07,2,,-1.12893702,0
0,540,3.5,2,,-0.611301,0
0,720,3.4,3,,-0.8361134,0
0,640,3.3,2,,-0.5373038,0
1,660,3.6,3,,-0.8183506,0
1,400,3.15,2,,-1.2044159,0
1,680,3.98,2,,0.08282572,1
0,220,2.83,3,,-2.42601138,0
0,580,3.46,4,,-1.67068356,0
1,540,3.17,1,,-0.30768462,0
0,580,3.51,2,,-0.51177086,0
0,540,3.13,2,,-0.89879618,0
0,440,2.98,3,,-1.80477928,0
0,560,4,3,,-0.736945,0
0,660,3.67,2,,-0.20392862,0
0,660,3.77,3,,-0.68625822,0
1,520,3.65,4,,-1.6606909,0
0,540,3.46,4,,-1.76244356,0
1,300,2.84,2,,-1.67469024,0
1,340,3,2,,-1.458608,0
1,780,3.63,4,,-1.07979118,0
1,480,3.71,4,,-1.70583006,0
0,540,3.28,1,,-0.22221308,0
0,460,3.14,3,,-1.63457704,0
0,460,3.58,2,,-0.73265988,0
0,500,3.01,4,,-2.20385986,0
0,420,2.69,2,,-1.51596234,0
0,520,2.7,3,,-1.8388232,0
0,680,3.9,1,,0.5806956,1
0,680,3.31,2,,-0.43777366,0
1,560,3.48,2,,-0.58096128,0
0,580,3.34,2,,-0.64386324,0
0,500,2.93,4,,-2.26602098,0
0,740,4,3,,-0.324025,0
0,660,3.59,3,,-0.82612074,0
0,420,2.96,1,,-0.74613756,0
0,560,3.43,3,,-1.17984298,0
1,460,3.64,3,,-1.24607004,0
1,620,3.71,1,,0.29542294,1
0,520,3.15,3,,-1.4891669,0
0,620,3.09,4,,-1.86641874,0
0,540,3.2,1,,-0.2843742,0
1,660,3.47,3,,-0.91936242,0
0,500,3.23,4,,-2.03291678,0
1,560,2.65,3,,-1.7859139,0
0,500,3.95,4,,-1.4734667,0
0,580,3.06,2,,-0.86142716,0
0,520,3.35,3,,-1.3337641,0
0,500,3.03,3,,-1.62828858,0
0,600,3.35,2,,-0.5902131,0
0,580,3.8,2,,-0.2864368,0
0,400,3.36,2,,-1.04124296,0
0,620,2.85,2,,-0.9328401,0
1,780,4,2,,0.327766,1
0,620,3.43,3,,-1.04220298,0
1,580,3.12,3,,-1.37483732,0
0,700,3.52,2,,-0.22872072,0
1,540,3.78,2,,-0.39373708,0
1,760,2.81,1,,-0.08272966,0
0,700,3.27,2,,-0.42297422,0
0,720,3.31,1,,0.21401734,1
1,560,3.69,3,,-0.97781934,0
0,720,3.94,3,,-0.41652584,0
1,520,4,1,,0.291357,1
1,540,3.49,1,,-0.05904014,0
0,680,3.14,2,,-0.56986604,0
0,460,3.44,2,,-0.84144184,0
1,560,3.36,1,,-0.11417196,0
0,480,2.78,3,,-1.86842208,0
0,460,2.93,3,,-1.79774998,0
0,620,3.63,3,,-0.88680018,0
0,580,4,1,,0.428997,1
0,800,3.89,2,,0.28817446,1
1,540,3.77,2,,-0.40150722,0
1,680,3.76,3,,-0.64814836,0
1,680,2.42,1,,-0.56928512,0
1,620,3.37,1,,0.03123818,1
0,560,3.78,2,,-0.34785708,0
0,560,3.49,4,,-1.69325314,0
0,620,3.63,2,,-0.32676918,0
1,800,4,2,,0.373646,1
0,640,3.12,3,,-1.23719732,0
0,540,2.7,2,,-1.2329122,0
0,700,3.65,2,,-0.1277089,0
1,540,3.49,2,,-0.61907114,0
0,540,3.51,2,,-0.60353086,0
0,660,4,1,,0.612517,1
1,480,2.62,2,,-1.43271332,0
0,420,3.02,1,,-0.69951672,0
1,740,3.86,2,,0.12722404,1
0,580,3.36,2,,-0.62832296,0
0,640,3.17,2,,-0.63831562,0
0,640,3.51,2,,-0.37413086,0
1,800,3.05,2,,-0.3645173,0
1,660,3.88,2,,-0.04075568,0
1,600,3.38,3,,-1.12693368,0
1,620,3.75,2,,-0.2335275,0
1,460,3.99,3,,-0.97411514,0
0,620,4,2,,-0.039274,0
0,560,3.04,3,,-1.48287844,0
0,460,2.63,2,,-1.47082318,0
0,700,3.65,2,,-0.1277089,0
0,600,3.89,3,,-0.73065654,0
,,,,,,12%
